file,类别,修改状态,改动类别,skip官方,skipfork,根因簇谱系,A_结果,A_通过,A_失败,A_耗时s,615b48e95_结果,615b48e95_通过,615b48e95_失败,615b48e95_耗时s,失败集合,根因簇
test/js/node/crypto/crypto-sign-regression.test.ts,Node 兼容,unchanged,,0,0,,PASS,1,0,0.8s,✅,1,0,0.3s,both-pass,
test/js/node/crypto/crypto.hmac.test.ts,Node 兼容,unchanged,,0,0,,PASS,74,0,0.8s,✅,74,0,0.4s,both-pass,
test/js/node/crypto/crypto.key-objects.test.ts,Node 兼容,unchanged,,2,2,,PASS,86,0,3.1s,✅,86,0,1.6s,both-pass,
test/js/node/crypto/crypto.test.ts,Node 兼容,unchanged,,1,1,,PASS,403,0,4.5s,✅,403,0,3.6s,both-pass,
test/js/node/crypto/ecdh.test.ts,Node 兼容,unchanged,,0,0,,PASS,14,0,0.8s,✅,14,0,0.3s,both-pass,
test/js/node/crypto/hkdf-callback-null.test.ts,Node 兼容,unchanged,,0,0,,PASS,3,0,0.7s,✅,3,0,0.3s,both-pass,
test/js/node/crypto/node-crypto.test.js,Node 兼容,unchanged,,0,0,,PASS,208,0,5.8s,✅,208,0,3.8s,both-pass,
test/js/node/crypto/pbkdf2.test.ts,Node 兼容,unchanged,,0,0,,PASS,45,0,0.7s,✅,45,0,0.3s,both-pass,
test/js/node/crypto/scrypt.test.ts,Node 兼容,unchanged,,0,0,,PASS,2,0,1.0s,✅,2,0,0.4s,both-pass,
test/js/node/crypto/sign-jwk-ieee-p1363.test.ts,Node 兼容,unchanged,,0,0,,PASS,3,0,0.6s,✅,3,0,0.3s,both-pass,
test/js/node/crypto/x509-subclass.test.ts,Node 兼容,unchanged,,0,0,,PASS,12,0,0.6s,✅,12,0,0.3s,both-pass,
test/js/node/crypto/x509.test.ts,Node 兼容,unchanged,,0,0,,PASS,19,0,0.6s,✅,19,0,0.3s,both-pass,
test/js/node/dgram/node-dgram.test.js,Node 兼容,unchanged,,1,1,,PASS,3,0,1.1s,✅,3,0,0.4s,both-pass,
test/js/node/diagnostics_channel/diagnostics_channel.test.ts,Node 兼容,unchanged,,0,0,,PASS,6,0,0.7s,✅,6,0,0.3s,both-pass,
test/js/node/dirname.test.js,Node 兼容,unchanged,,0,0,,PASS,2,0,0.8s,✅,2,0,0.3s,both-pass,
test/js/node/dns/dns-lookup-keepalive.test.ts,Node 兼容,unchanged,,0,0,,PASS,4,0,3.2s,✅,4,0,1.5s,both-pass,
test/js/node/dns/dns-resolver-concurrent-timeout.test.ts,Node 兼容,unchanged,,0,0,,PASS,1,0,2.5s,✅,1,0,1.4s,both-pass,
test/js/node/dns/dns-tcp-bidirectional-poll.test.ts,Node 兼容,unchanged,,1,1,,PASS,1,0,1.1s,✅,1,0,0.5s,both-pass,
test/js/node/dns/node-dns.test.js,Node 兼容,unchanged,,3,3,,PASS,164,0,10.9s,✅,164,0,10.3s,both-pass,
test/js/node/domexception-node.test.js,Node 兼容,unchanged,,0,0,,PASS,7,0,0.6s,✅,7,0,0.3s,both-pass,
test/js/node/env-windows.test.ts,Node 兼容,unchanged,,0,0,,PASS,0,0,0.6s,✅,0,0,0.3s,both-pass,
test/js/node/errors/error-code-toString-receiver.test.ts,Node 兼容,unchanged,,0,0,,PASS,3,0,0.9s,✅,3,0,0.4s,both-pass,
test/js/node/events/event-emitter.test.ts,Node 兼容,unchanged,,0,0,,PASS,75,0,1.0s,✅,75,0,0.5s,both-pass,
test/js/node/fs/abort-signal-leak-read-write-file.test.ts,Node 兼容,unchanged,,0,0,,PASS,1,0,22.2s,✅,1,0,18.8s,both-pass,
test/js/node/fs/cp-symlink-target.test.ts,Node 兼容,unchanged,,0,0,,PASS,2,0,0.7s,✅,2,0,0.3s,both-pass,
test/js/node/fs/dir.test.ts,Node 兼容,unchanged,,1,1,,PASS,23,0,0.7s,✅,23,0,0.3s,both-pass,
test/js/node/fs/fs-birthtime-linux.test.ts,Node 兼容,modified,ohos-adapted,1,1,,PASS,0,0,0.6s,✅,0,0,0.3s,both-pass,
test/js/node/fs/fs-leak.test.js,Node 兼容,unchanged,,0,0,,PASS,4,0,0.7s,✅,4,0,0.3s,both-pass,
test/js/node/fs/fs-oom.test.ts,Node 兼容,unchanged,,2,2,,PASS,2,0,9.8s,✅,2,0,8.3s,both-pass,
test/js/node/fs/fs-path-length.test.ts,Node 兼容,unchanged,,0,0,,PASS,0,0,0.7s,✅,0,0,0.3s,both-pass,
test/js/node/fs/fs-promises-writeFile-async-iterator.test.ts,Node 兼容,unchanged,,0,0,,PASS,2,0,0.6s,✅,2,0,0.4s,both-pass,
test/js/node/fs/fs-stat-seccomp-linux.test.ts,Node 兼容,unchanged,,1,1,,PASS,0,0,1.3s,✅,0,0,1.4s,both-pass,
test/js/node/fs/fs-stats-constructor.test.ts,Node 兼容,unchanged,,0,0,,PASS,6,0,1.0s,✅,6,0,0.4s,both-pass,
test/js/node/fs/fs-stats-truncate.test.ts,Node 兼容,unchanged,,0,0,,PASS,3,0,0.8s,✅,3,0,0.3s,both-pass,
test/js/node/fs/fs-write-offset-bound.test.ts,Node 兼容,unchanged,,0,0,,PASS,7,0,0.8s,✅,7,0,0.4s,both-pass,
test/js/node/fs/fs-writeSync-stdio-windows.test.ts,Node 兼容,unchanged,,0,0,,PASS,0,0,1.0s,✅,0,0,0.3s,both-pass,
test/js/node/fs/glob.test.ts,Node 兼容,unchanged,,0,0,,PASS,34,0,1.2s,✅,34,0,0.4s,both-pass,
test/js/node/fs/promises.test.js,Node 兼容,unchanged,,5,5,,PASS,30,0,1.1s,✅,30,0,0.5s,both-pass,
test/js/node/fs/readdir-windows-ntstatus.test.ts,Node 兼容,unchanged,,1,1,,PASS,0,0,0.8s,✅,0,0,0.4s,both-pass,
test/js/node/fs/readdirSync-recursive-error-leak.test.ts,Node 兼容,unchanged,,1,1,,PASS,1,0,45.9s,✅,1,0,41.0s,both-pass,
test/js/node/fs/rm-windows-ntstatus.test.ts,Node 兼容,unchanged,,3,3,,PASS,1,0,0.8s,✅,1,0,0.3s,both-pass,
test/js/node/fs/translate-uv-error-windows.test.ts,Node 兼容,unchanged,,2,2,,PASS,1,0,0.8s,✅,1,0,0.3s,both-pass,
test/js/node/harness.test.js,Node 兼容,unchanged,,0,0,,PASS,0,0,0.9s,✅,0,0,0.3s,both-pass,
test/js/node/http/client-timeout-error.test.ts,Node 兼容,unchanged,,0,0,,PASS,2,0,1.0s,✅,2,0,0.5s,both-pass,
test/js/node/http/early-hints-crlf-injection.test.ts,Node 兼容,unchanged,,0,0,,PASS,4,0,2.5s,✅,4,0,0.6s,both-pass,
test/js/node/http/node-fetch-cjs.test.js,Node 兼容,unchanged,,0,0,,PASS,1,0,0.7s,✅,1,0,0.3s,both-pass,
test/js/node/http/node-fetch-primordials.test.ts,Node 兼容,unchanged,,0,0,,PASS,1,0,0.8s,✅,1,0,0.3s,both-pass,
test/js/node/http/node-fetch.test.js,Node 兼容,unchanged,,0,0,,PASS,11,0,0.7s,✅,11,0,0.3s,both-pass,
test/js/node/http/node-http-agent-tls-options.test.mts,Node 兼容,unchanged,,0,0,,PASS,15,0,1.6s,✅,15,0,1.2s,both-pass,
test/js/node/http/node-http-backpressure-max.test.ts,Node 兼容,unchanged,,1,1,,PASS,1,0,18.0s,✅,1,0,16.6s,both-pass,
test/js/node/http/node-http-backpressure.test.ts,Node 兼容,modified,ohos-adapted,0,0,,PASS,19,0,11.4s,✅,19,0,9.9s,both-pass,
